source_market,source_stock_code,target_market,target_stock_code,relationship_type_code
KOSPI,329180,NASDAQ,PLTR,PARTNER
KOSPI,035420,KOSPI,316140,PARTNER
KOSPI,030200,KOSPI,316140,PARTNER
KOSPI,015760,KOSPI,298040,PARTNER
KOSPI,024110,KOSPI,030200,PARTNER
KOSPI,030200,NASDAQ,CSCO,PARTNER
KOSPI,030200,NASDAQ,INTC,PARTNER
NASDAQ,AVGO,KOSPI,005930,SUPPLY
KOSPI,316140,KOSPI,377300,PARTNER
KOSPI,000100,KOSPI,0126Z0,PARTNER
KOSPI,010140,KOSPI,011070,PARTNER
KOSPI,000720,KOSPI,030200,PARTNER
KOSPI,010120,KOSPI,055550,PARTNER
KOSPI,029780,KOSPI,035420,PARTNER
KOSPI,0126Z0,KOSPI,207940,PARTNER
KOSPI,005490,KOSPI,015760,PARTNER
KOSPI,267250,NASDAQ,GOOGL,PARTNER
KOSPI,015760,KOSPI,086790,PARTNER
KOSPI,005380,NASDAQ,AAPL,PARTNER
KOSPI,030200,KOSPI,329180,PARTNER
KOSPI,000810,KOSPI,377300,PARTNER
KOSPI,000720,KOSPI,071050,PARTNER
KOSPI,017670,KOSPI,024110,PARTNER
KOSPI,071050,KOSPI,323410,PARTNER
KOSPI,032640,KOSPI,086790,PARTNER
KOSPI,017670,NASDAQ,INTC,PARTNER
KOSPI,012330,KOSPI,032640,PARTNER
KOSPI,006800,KOSPI,024110,PARTNER
KOSPI,000720,KOSPI,055550,PARTNER
KOSPI,024110,KOSPI,032640,PARTNER
KOSPI,029780,KOSPI,377300,PARTNER
KOSPI,042700,NASDAQ,MU,SUPPLY
KOSPI,003490,NASDAQ,SBUX,PARTNER
KOSPI,047810,NASDAQ,SPCX,PARTNER
KOSPI,015760,KOSPI,017670,PARTNER
KOSPI,0126Z0,KOSPI,128940,PARTNER
KOSPI,032640,NASDAQ,GOOGL,PARTNER
KOSPI,018260,KOSPI,064400,COMPETE
KOSPI,034020,KOSPI,047040,PARTNER
KOSPI,003490,KOSPI,035420,PARTNER
KOSPI,029780,KOSPI,323410,PARTNER
KOSPI,003670,KOSPI,373220,PARTNER
KOSPI,005930,NASDAQ,AMD,PARTNER
KOSPI,042660,KOSPI,329180,COMPETE
KOSPI,042700,KOSPI,000660,SUPPLY
KOSPI,035420,KOSPI,352820,PARTNER
KOSPI,032640,NASDAQ,QCOM,PARTNER
KOSPI,064400,NASDAQ,AMZN,PARTNER
KOSPI,006800,KOSPI,017670,PARTNER
KOSPI,005930,NASDAQ,SNPS,PARTNER
KOSPI,051910,KOSPI,090430,PARTNER
KOSPI,079550,KOSPI,272210,PARTNER
KOSPI,030200,NASDAQ,MSFT,PARTNER
KOSPI,005930,NASDAQ,AVGO,COMPETE
KOSPI,035420,NASDAQ,QCOM,PARTNER
KOSPI,017670,KOSPI,035720,PARTNER
KOSPI,012450,KOSPI,373220,PARTNER
KOSPI,086280,KOSPI,373220,PARTNER
KOSPI,005930,KOSPI,029780,PARTNER
KOSPI,010950,KOSPI,055550,PARTNER
KOSPI,017670,KOSPI,377300,PARTNER
NASDAQ,SPCX,NASDAQ,TMUS,PARTNER
KOSPI,032640,KOSPI,105560,PARTNER
KOSPI,000660,NASDAQ,SNDK,PARTNER
KOSPI,005930,KOSPI,272210,PARTNER
KOSPI,047810,KOSPI,066570,PARTNER
KOSPI,028260,KOSPI,316140,PARTNER
KOSPI,005930,NASDAQ,AAPL,COMPETE
KOSPI,015760,KOSPI,030200,PARTNER
KOSPI,005930,NASDAQ,INTC,COMPETE
KOSPI,055550,NASDAQ,GOOGL,PARTNER
KOSPI,017670,NASDAQ,QCOM,PARTNER
KOSPI,015760,KOSPI,373220,PARTNER
KOSPI,018260,KOSPI,030200,PARTNER
KOSPI,005380,KOSPI,373220,PARTNER
KOSPI,010120,KOSPI,373220,PARTNER
KOSPI,012450,KOSPI,272210,PARTNER
KOSPI,032640,KOSPI,064400,PARTNER
KOSPI,003490,KOSPI,079550,PARTNER
KOSPI,105560,NASDAQ,GOOGL,PARTNER
KOSPI,005380,KOSPI,010130,PARTNER
KOSPI,010140,KOSPI,011200,PARTNER
KOSPI,009150,KOSPI,011070,COMPETE
KOSPI,011070,KOSPI,055550,PARTNER
KOSPI,017670,NASDAQ,NFLX,PARTNER
KOSPI,030200,KOSPI,071050,PARTNER
KOSPI,005930,NASDAQ,CSCO,PARTNER
KOSPI,005380,NASDAQ,AMZN,PARTNER
KOSPI,009150,NASDAQ,AAPL,SUPPLY
KOSPI,005490,KOSPI,028050,PARTNER
KOSPI,000660,NASDAQ,ASML,PARTNER
KOSPI,009540,KOSPI,011200,PARTNER
KOSPI,066570,NASDAQ,NVDA,PARTNER
KOSPI,003670,KOSPI,105560,PARTNER
KOSPI,005490,KOSPI,042660,PARTNER
KOSPI,035720,KOSPI,271560,PARTNER
KOSPI,035420,KOSPI,090430,PARTNER
KOSPI,012330,KOSPI,373220,PARTNER
NASDAQ,MSFT,NASDAQ,WDAY,PARTNER
KOSPI,030200,KOSPI,066570,PARTNER
KOSPI,005930,NASDAQ,NVDA,SUPPLY
KOSPI,035420,KOSPI,066570,PARTNER
KOSPI,066570,NASDAQ,MSFT,PARTNER
KOSPI,017670,NASDAQ,NVDA,PARTNER
KOSPI,042660,KOSPI,267250,COMPETE
KOSPI,0126Z0,KOSPI,068270,COMPETE
KOSPI,032640,KOSPI,316140,PARTNER
KOSPI,005930,KOSPI,066570,COMPETE
NASDAQ,AMD,NASDAQ,INTC,COMPETE
KOSPI,373220,NASDAQ,TSLA,SUPPLY
KOSPI,005380,KOSPI,017670,PARTNER
KOSPI,024110,KOSPI,035420,PARTNER
KOSPI,017670,KOSPI,402340,PARTNER
KOSPI,066970,NASDAQ,TSLA,SUPPLY
KOSPI,005930,KOSPI,047040,PARTNER
KOSPI,005490,KOSPI,066570,PARTNER
KOSPI,096770,KOSPI,373220,PARTNER
KOSPI,066570,NASDAQ,QCOM,PARTNER
KOSPI,000270,KOSPI,005380,PARTNER
KOSPI,010120,KOSPI,066570,PARTNER
KOSPI,015760,KOSPI,066570,PARTNER
NASDAQ,TSLA,NASDAQ,PEP,SUPPLY
KOSPI,088350,KOSPI,316140,PARTNER
KOSPI,005930,NASDAQ,WDC,PARTNER
KOSPI,005930,KOSPI,316140,PARTNER
KOSPI,000270,KOSPI,161390,PARTNER
KOSPI,035420,KOSPI,035720,COMPETE
KOSPI,000660,NASDAQ,QCOM,PARTNER
KOSPI,032640,KOSPI,035420,PARTNER
KOSPI,017670,KOSPI,105560,PARTNER
KOSPI,005930,KOSPI,015760,PARTNER
KOSPI,034020,KOSPI,064350,PARTNER
NASDAQ,AVGO,NASDAQ,MRVL,COMPETE
KOSPI,005380,KOSPI,030200,PARTNER
KOSPI,000810,KOSPI,316140,PARTNER
KOSPI,012330,KOSPI,086790,PARTNER
KOSPI,030200,NASDAQ,NFLX,PARTNER
KOSPI,029780,NASDAQ,SBUX,PARTNER
KOSPI,000660,NASDAQ,MU,COMPETE
KOSPI,005380,KOSPI,064350,PARTNER
KOSPI,030200,KOSPI,051910,PARTNER
KOSPI,035420,NASDAQ,PDD,PARTNER
KOSPI,005930,NASDAQ,GOOGL,PARTNER
NASDAQ,GOOGL,NASDAQ,QCOM,PARTNER
KOSPI,051910,NASDAQ,TSLA,SUPPLY
KOSPI,003670,KOSPI,006400,SUPPLY
KOSPI,0126Z0,NASDAQ,AMGN,COMPETE
KOSPI,047810,KOSPI,064350,PARTNER
KOSPI,015760,KOSPI,028260,PARTNER
KOSPI,035420,NASDAQ,SBUX,PARTNER
KOSPI,003490,KOSPI,030200,PARTNER
KOSPI,035420,NASDAQ,NVDA,PARTNER
KOSPI,055550,KOSPI,377300,PARTNER
KOSPI,012450,KOSPI,042660,PARTNER
KOSPI,003490,KOSPI,047810,PARTNER
KOSPI,000720,KOSPI,005380,PARTNER
KOSPI,000660,KOSPI,402340,PARTNER
KOSPI,009540,KOSPI,042660,COMPETE
KOSPI,006800,KOSPI,086790,PARTNER
KOSPI,035420,KOSPI,035720,PARTNER
KOSPI,267250,KOSPI,267270,PARTNER
KOSPI,017670,KOSPI,316140,PARTNER
KOSPI,005380,KOSPI,086280,PARTNER
KOSPI,016360,KOSPI,024110,PARTNER
KOSPI,066570,NASDAQ,GOOGL,PARTNER
KOSPI,032640,KOSPI,066570,PARTNER
KOSPI,051910,KOSPI,096770,COMPETE
KOSPI,005930,NASDAQ,MSFT,PARTNER
KOSPI,000660,NASDAQ,NVDA,PARTNER
KOSPI,055550,KOSPI,105560,COMPETE
KOSPI,005930,NASDAQ,QCOM,PARTNER
KOSPI,006400,KOSPI,373220,PARTNER
NASDAQ,AMD,NASDAQ,NVDA,COMPETE
KOSPI,000660,NASDAQ,INTC,COMPETE
KOSPI,005930,NASDAQ,TSLA,PARTNER
KOSPI,042660,KOSPI,329180,PARTNER
KOSPI,010140,KOSPI,042660,PARTNER
KOSPI,005930,KOSPI,017670,PARTNER
KOSPI,005930,NASDAQ,INTC,PARTNER
KOSPI,051910,KOSPI,096770,PARTNER
KOSPI,000660,KOSPI,005930,COMPETE
KOSPI,030200,KOSPI,032640,PARTNER
KOSPI,000660,NASDAQ,INTC,PARTNER
KOSPI,030200,KOSPI,032640,COMPETE
KOSPI,005930,KOSPI,032640,PARTNER
KOSPI,005930,KOSPI,066570,PARTNER
KOSPI,066570,NASDAQ,AAPL,PARTNER
KOSPI,005930,KOSPI,030200,PARTNER
