source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,066570,NASDAQ,MAR,PARTNER,30D,60.0675,POSITIVE,0.661,30,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,064400,NASDAQ,HON,PARTNER,30D,18.05,POSITIVE,0.657,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,373220,NASDAQ,ADI,PARTNER,30D,17.5425,POSITIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,272210,NASDAQ,HON,PARTNER,30D,15.4275,POSITIVE,0.6,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,GEHC,PARTNER,30D,6.915,POSITIVE,0.72,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,001440,KOSPI,009830,PARTNER,30D,21.1725,POSITIVE,0.72,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,307950,NASDAQ,MSFT,PARTNER,30D,14.2425,POSITIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,001440,KOSPI,086790,PARTNER,30D,16.5675,NEGATIVE,0.8,8,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,128940,PARTNER,30D,21.3675,POSITIVE,0.733,22,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,267270,PARTNER,30D,17.055,NEGATIVE,0.709,19,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,021240,NASDAQ,MAR,PARTNER,30D,22.9125,POSITIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,018260,KOSPI,024110,PARTNER,30D,9.8775,POSITIVE,0.687,11,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,034020,KOSPI,066970,PARTNER,30D,18.6625,NEGATIVE,0.612,10,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,024110,KOSPI,047040,PARTNER,30D,11.4,POSITIVE,0.783,12,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003670,KOSPI,316140,PARTNER,30D,17.3775,NEGATIVE,0.625,16,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,064400,KOSPI,272210,COMPETE,30D,13.6125,POSITIVE,0.6,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,012330,NASDAQ,QCOM,PARTNER,30D,39.6375,POSITIVE,0.613,14,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010130,KOSPI,051910,PARTNER,30D,33.205,POSITIVE,0.7,69,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000880,KOSPI,010130,PARTNER,30D,16.7475,POSITIVE,0.64,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,018260,NASDAQ,WDAY,PARTNER,30D,24.705,POSITIVE,0.667,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,NASDAQ,PLTR,PARTNER,30D,27.215,POSITIVE,0.6,13,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,024110,KOSPI,267270,PARTNER,30D,6.3375,NEGATIVE,0.667,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,NASDAQ,PLTR,PARTNER,30D,25.56,NEGATIVE,0.68,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010120,NASDAQ,MSFT,PARTNER,30D,15.225,POSITIVE,0.629,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,KOSPI,272210,PARTNER,30D,39.9425,NEGATIVE,0.74,79,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,KOSPI,307950,PARTNER,30D,14.825,NEGATIVE,0.8,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,402340,NASDAQ,CMCSA,PARTNER,30D,14.7725,POSITIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003490,KOSPI,064400,PARTNER,30D,8.385,POSITIVE,0.6,12,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,009150,NASDAQ,TSLA,SUPPLY,30D,21.465,POSITIVE,0.7,16,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,NASDAQ,NVDA,PARTNER,30D,13.065,POSITIVE,0.642,33,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,KOSPI,086790,PARTNER,30D,28.1625,POSITIVE,0.735,106,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,055550,KOSPI,079550,PARTNER,30D,15.32,NEGATIVE,0.712,12,rel-v0.2-typed,2026-09-14T00:00:00Z
